Traffic light,Shipping Point/Receiving Pt,Originating document,STPO_Cut_Off,Plant,Description,Material,Open quantity,Unrestricted
,W001,6200020928,M_15th,GE04,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,1184,92
,W001,6200020931,M_25th,GE04,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,748,92
,W001,6200020931,M_25th,GE02,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,1400,92
,W001,6200020931,M_25th,GE05,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,160,92
,W001,6200020931,M_25th,GE01,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,164,92
,W001,6200020931,M_25th,GE02,ALPHABRIZ 1200MM IVORY CF WOR,ALBRIZ48IVY,20,592
,W001,6200020928,M_15th,GE05,ALPHABRIZ 1200MM OPAL WHITE CF WOR,ALBRIZ48OPW,60,0
,W001,6200020928,M_15th,GE02,ALPHABRIZ 1200MM OPAL WHITE CF WOR,ALBRIZ48OPW,808,0
,W001,6200020928,M_15th,GE03,ALPHABRIZ 1200MM OPAL WHITE CF WOR,ALBRIZ48OPW,40,0
,W001,6200020931,M_25th,GE03,ALPHABRIZ 1200MM OPAL WHITE CF WOR,ALBRIZ48OPW,160,0
,W001,6200020931,M_25th,GE02,ALPHABRIZ 1200MM OPAL WHITE CF WOR,ALBRIZ48OPW,600,0
,W001,6200020931,M_25th,GE05,ALPHABRIZ 1200MM OPAL WHITE CF WOR,ALBRIZ48OPW,40,0
,W001,6200020949,M_15th,GN06,ARIYABRIZ 1.2M BROWN CF,ARYBRZ48BRN,140,250
,W001,6200020949,M_15th,GN05,ARIYABRIZ 1.2M BROWN CF,ARYBRZ48BRN,92,250
,W001,6200020906,M_25th,GW02,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,116,0
,W001,6200020906,M_25th,GW03,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,4,0
,W001,6200020906,M_25th,GW01,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,116,0
,W001,6200020906,M_25th,GE04,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,40,0
,W001,6200020906,M_25th,GE03,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,8,0
,W001,6200020906,M_25th,GE05,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,92,0
,W001,6200020905,M_15th,GW03,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,680,0
,W001,6200020905,M_15th,GN01,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,124,0
,W001,6200020905,M_15th,GN02,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,100,0
,W001,6200020905,M_15th,GN06,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,372,0
,W001,6200020906,M_25th,GN06,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,248,0
,W001,6200020906,M_25th,GN01,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,84,0
,W001,6200020906,M_25th,GN02,ARIYABRIZ 1.2M IVORY CF,ARYBRZ48IVY,68,0
,W001,6200021129,M_15th,GN03,ARIYABRIZ 1.2M LUSTER BROWN CF,ARYBRZ48LBN,820,820
,W001,6200020905,M_15th,GN05,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,156,576
,W001,6200020906,M_25th,GN06,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,412,576
,W001,6200020906,M_25th,GN05,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,492,576
,W001,6200020906,M_25th,GN01,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,904,576
,W001,6200020906,M_25th,GN02,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,164,576
,W001,6200020906,M_25th,GN03,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,164,576
,W001,6200021127,M_15th,GN01,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,96,576
,W001,6200021128,M_15th,GN02,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,180,576
,W001,6200021129,M_15th,GN03,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,180,576
,W001,6200021133,M_15th,GN05,ARIYABRIZ 1.2M OPAL WHT CF,ARYBRZ48OPW,540,576
,W001,6200020906,M_25th,GW02,ASSET50 1.2M BROWN 3B,AST48BRN,64,4
,W001,6200020906,M_25th,GW02,ASSET50 1.2M OPALWHT 3B,AST48OPW,44,0
,W001,6200020726,M_15th,GS04,"SWH 25LT (1025), MAGNA,V MTG,WHT GRY SVR",ASWH1025-WHTGRYSIL,12,0
,W001,6200020723,M_15th,GS01,"SWH 25LT (1025), MAGNA,V MTG,WHT GRY SVR",ASWH1025-WHTGRYSIL,6,0
,W001,6200020891,M_15th,GW04,"SWH 25LT (1025), MAGNA,V MTG,WHT GRY SVR",ASWH1025-WHTGRYSIL,20,0
,W001,6200020811,M_15th,GW05,"SWH 15L,ARNO POWER, VERT MTG, WHT/GRY",ASWH1515-WHT/BRW,1,166
,W001,6200021167,M_15th,GW01,"SWH50 LT (450) Radiant, V MTG, IVY",ASWH450-IVY,30,0
,W001,6200021166,M_15th,GS01,"SWH 15LT (615) ARNO HZ / FLR, IVY",ASWH615HZ-IVY,11,37
,W001,6200020906,M_25th,GW03,AURA 0.9M NEW  WHITE,AURA36NEWWHT,4,0
,W001,6200020906,M_25th,GW05,AURA 0.9M NEW  WHITE,AURA36NEWWHT,32,0
,W001,6200020906,M_25th,GN03,AURA 0.9M NEW  WHITE,AURA36NEWWHT,12,0
,W001,6200020906,M_25th,GE02,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,4,696
,W001,6200020906,M_25th,GS02,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,180,696
,W001,6200020906,M_25th,GW04,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,48,696
,W001,6200020906,M_25th,GS03,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,140,696
,W001,6200020905,M_15th,GS03,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,52,696
,W001,6200020905,M_15th,GE03,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,48,696
,W001,6200020949,M_15th,GS04,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,8,696
,W001,6200020949,M_15th,GE02,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,16,696
,W001,6200020949,M_15th,GS07,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,232,696
,W001,6200020949,M_15th,GS02,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,188,696
,W001,6200020949,M_15th,GS03,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,100,696
,W001,6200020949,M_15th,GS04,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,40,696
,W001,6200020949,M_15th,GS05,AURA 1.2M BROWN DELUXE FAN,AURA48BRNDLX,216,696
