,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
13,ACGVS-100VAC,M_15th,ACGVS-100VAC_M_15th,,,14.0,18.0,38.0,,,,,,,,,,,,,,,,,5.0,,,
14,AIWH01PC1(3KW)-IVY,M_15th,AIWH01PC1(3KW)-IVY_M_15th,,,,,,,,,,,,,24.0,30.0,,,,,,,,,,,
15,ALBRIZ48BRN,M_15th,ALBRIZ48BRN_M_15th,180.0,500.0,,1184.0,240.0,,,,,,,,,,,,,,,,,,,,
16,ALBRIZ48BRN,M_25th,ALBRIZ48BRN_M_25th,164.0,1400.0,,748.0,160.0,,,,,,,,,,,,,,,,,,,,
17,ALBRIZ48IVY,M_25th,ALBRIZ48IVY_M_25th,,20.0,,,,,,,,,,,,,,,,,,,,,,,
18,ALBRIZ48OPW,M_15th,ALBRIZ48OPW_M_15th,,808.0,40.0,,60.0,,,,,,,,,,,,,,,,,,,,
19,ALBRIZ48OPW,M_25th,ALBRIZ48OPW_M_25th,,600.0,160.0,,40.0,,,,,,,,,,,,,,,,,,,,
20,ARYBRZ48BRN,M_15th,ARYBRZ48BRN_M_15th,,,,,,,,,,92.0,140.0,,,,,,,,,,,,,,
21,ARYBRZ48IVY,M_15th,ARYBRZ48IVY_M_15th,,,,,,124.0,100.0,,,,372.0,,,,,,,,,,680.0,,,,
22,ARYBRZ48IVY,M_25th,ARYBRZ48IVY_M_25th,,,8.0,40.0,92.0,84.0,68.0,,,,248.0,,,,,,,,116.0,116.0,4.0,,,,
23,ARYBRZ48LBN,M_15th,ARYBRZ48LBN_M_15th,,,,,,,,820.0,,,,,,,,,,,,,,,,,
24,ARYBRZ48OPW,M_15th,ARYBRZ48OPW_M_15th,,,,,,96.0,180.0,180.0,,696.0,,,,,,,,,,,,,,,
25,ARYBRZ48OPW,M_25th,ARYBRZ48OPW_M_25th,,,,,,904.0,164.0,164.0,,492.0,412.0,,,,,,,,,,,,,,
26,AST48BRN,M_25th,AST48BRN_M_25th,,,,,,,,,,,,,,,,,,,,64.0,,,,,
