Material,STPO_Cut_Off,GE01,GE02,GE03,GE04,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS02,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW04,GW05,GW06,GW07
AVRPRIME48NWD,M_25th,,,,,,100.0,16.0,14.0,,,146.0,,38.0,,18.0,46.0,22.0,64.0,118.0,88.0,60.0,30.0,,,
AVRPRIME48RBL,M_25th,,,,,,,,,,,,,,,,,,,,30.0,,16.0,10.0,,
AXIALAIR4IVY,M_15th,,,,,,,,,,,,,,,,,,20.0,,,,,,,
AXIALAIR4IVY,M_25th,,,,,,,,,,,,,,,,,,80.0,,,,,,,
AXIALAIR4WHT,M_15th,,,,,,,,,,40.0,60.0,,,,,60.0,,180.0,,,,,,,
AXIALAIR4WHT,M_25th,,,,,,,,,,20.0,40.0,,,,,40.0,,120.0,,40.0,,,,,
AXIALAIR6IVY,M+1_7th,,,,,40.0,,,,,13.0,,,,,,,,,,120.0,80.0,,,,
AXIALAIR6IVY,M_15th,7.0,,,,,,,,,,,,100.0,,,,,,,,,,,,
AXIALAIR6WHTN,M_25th,,,,20.0,,,4.0,,,,,,,,,,,,,,,,,,
BRISKAIR6HSBLKN,M_15th,,,,24.0,,,,,,,,,,,,,,,104.0,,,,,,
BRISKAIR6HSBLKN,M_25th,,,,16.0,,,,,,,,,,,,,,,72.0,,,,,,
BRISKAIR6HSBRNN,M_15th,,,,,,,,,,,,,,,,,,,104.0,,,,,,
BRISKAIR6HSBRNN,M_25th,,,,,,,,,,,,,,,,,,,72.0,,,,,,
BRISKAIR6HSWHTN,M_15th,,,,,,,,,,,,64.0,,,,,,,64.0,32.0,,,,,
BRISKAIR6HSWHTN,M_25th,,,,,,,,,,,,40.0,,,,,,,32.0,24.0,,,,,
BRISKAIR8HSBLKN,M_15th,,,,16.0,,,,,,,,,,,,,,,,,,,,,
BRISKAIR8HSBLKN,M_25th,,,,8.0,,,,,,,,,,,,,,,,,,,,,
BRISKAIR8HSIVYN,M_15th,,,,,,,,,,,,,,,,,64.0,,32.0,,,,,,
BRISKAIR8HSIVYN,M_25th,,,,,,,,,,,,,,,,,40.0,,24.0,,,,,,
BRISKAIR8HSWHTN,M_15th,,,,,,,,,,,,,,,,,,,16.0,32.0,,,,,
BRISKAIR8HSWHTN,M_25th,,,,,,,,,,,,,,,,,,,32.0,24.0,,,,,
BRISKAIRPLUS6BRN,M_15th,,,,16.0,,,,,,,,,,,,,,,48.0,,,,,,
BRISKAIRPLUS6BRN,M_25th,,,,8.0,,,,,,,,,,,,,,,32.0,,,,,,
BRISKAIRPLUS6IVY,M_15th,,,,,,,,,,,,,,,,,,,24.0,,,,,,
BRISKAIRPLUS6IVY,M_25th,,,,,,,,,,,,,,,,,,,16.0,,,,,,
BRISKAIRPLUS6WHT,M_15th,6.0,,,,,,,,,,,,300.0,,,,,,,,,,,,
