Material,STPO_Cut_Off,GE01,GE02,GE03,GE04,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS02,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW04,GW05,GW06,GW07
S-90000456,M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
S-90000459,M_15th,,,,,,,,,,,,,68.0,,,,,,,,,,,,
S-90000467,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,4.0
S-90000494,M_15th,,,,,,,,,20.0,,,120.0,,,,,,,,,,,,,
S-90000510,M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
S-90000512,M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
S-90000514,M_15th,,,,,,,,,,,,,64.0,,,,,,,,,,,,
S-90000515,M_15th,,,,,,,,,,,,,16.0,,10.0,,2.0,,,,,,,,
S-90000516,M_15th,,,,,,,,,,,,,,,,,8.0,,,,,,,,
S-90000521,M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
S-90000530,M_15th,,,,,,,,,,,,,,,30.0,1.0,3.0,,,,,,,,
S-90000531,M_15th,,,,,,,,,,,,,,,,,12.0,,,,,,,,
S-90000579,M_15th,,,,,,888.0,828.0,,,,,,,,,,,,,,,,,12.0,
S-90000601,M_15th,,,,,,,,,,,,,,,,2.0,,,,,,,,,
S-90000604,M_15th,,,,,,,,,,,,5.0,15.0,,,,20.0,,,,,,,,
S-90000611,M_15th,,,,,,,,,,,,,,,,,,,,,,,2.0,,
S-90000612,M_15th,,,,,,,,,,,,,,,,,12.0,,,,,,,,
S-90000614,M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
S-90000615,M_15th,,,,,,,,,,,,5.0,15.0,,,,,,,,,,,,
S-90000666,M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
S-90000667,M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
S-90000672,M_15th,,,,,,,,,,,,,,,,,,,172.0,,,,,,
S-90000680,M_15th,100.0,,,,,,,,,,,,40.0,,,,,,50.0,,,,,,50.0
S-90000681,M_15th,100.0,,,,,,,,,,,,,,,,,,50.0,,,,,,
S-90000682,M_15th,,,,,,,3.0,,,,,,,,,,,,550.0,,,,,,
S-90000685,M_15th,,,,,,,,,,,,10.0,,,,,,,,,,,,,
S-90000687,M_15th,,,,,,15.0,,,,,,,,,,,,,30.0,,,,,,
S-90000688,M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,50.0
S-90000689,M_15th,,,,,2.0,150.0,,,,,,,,,,,,,,,,,,,
S-90000691,M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
S-90000693,M_15th,,,,,,,,,,,,,,,,,,,70.0,,,,,,
S-90000694,M_15th,,,,,70.0,,,,,,,,,,,,,,100.0,,,,,,
S-90000696,M_15th,,,,,,20.0,,,,,,,,,,,,,60.0,,,,,,
S-90000697,M_15th,,,,,,30.0,,,,,,,,,,,,,,,,,,,
S-90000698,M_15th,,,,,,50.0,,,,,,,,,,,,,70.0,,,,,,
S-90000700,M_15th,,,,,,,,,,,,,,,,,,,100.0,,,,,,
S-90000708,M_15th,,,,,,,3.0,,,,,,,,,,,,,,,,,,
S-90000710,M_15th,,,,,,30.0,3.0,,,,,,38.0,,,,,,150.0,,,,,,
S-90000711,M_15th,,,,50.0,,,,,,,,,,,,,,,,,,,,,
S-90000714,M_15th,,,,,5.0,,6.0,,,,,,40.0,,,,,,130.0,,,,,,
S-90000757,M_15th,20.0,,,30.0,10.0,,,,,,,,,,,,,,,,,,,,
S-90000763,M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
S-90000765,M_15th,,,,,,3.0,,,,,,,4.0,,,,,,4.0,,,,,,
S-90000766,M_15th,,,,,,10.0,,,,,,,4.0,,,,,,,,,,,,
S-90000767,M_15th,,,,,,14.0,,,,,,18.0,,,,,,,,,,,,,
S-90000769,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,
S-90000772,M_15th,,,,,,5.0,,,,,,,,,,,,,,,,,,,
S-90000782,M_15th,,,,,,,,,,6.0,,,,,,,,,,,,,,,
S-90000787,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
S-90000794,M_15th,,,,,,46.0,3.0,,20.0,,,,,,,,,,6.0,,,,,,
S-90000795,M_15th,,,,,,,,,,6.0,,,,,,,,,,,,,,,
S-90000800,M_15th,,,,,,,50.0,,,6.0,,,,,,,,,4.0,,,,,,
S-90000807,M_15th,,,,,,50.0,,,30.0,20.0,,,,,,,,,36.0,,,,,,
S-90000809,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
S-90000814,M_15th,,,,,,,,,,24.0,,,2.0,,,,2.0,,50.0,,,,,,
S-90000815,M_15th,,,,,,,,,20.0,,,,,,,,,,,,,,,,
S-90000817,M_15th,,,,,,,,,,,,,,,,,,,,,,,2.0,,
S-90000821,M_15th,,,,,,,,,,24.0,,,,,,,,,4.0,,,,,,
S-90000827,M_15th,,,,,,,,,,,,,,,4.0,,,,,,,,,,
S-90000831,M_15th,,,,,,,,,10.0,,,,,,,,,,,,,,,,
S-90000834,M_15th,,,,,,,,,,,,,,,4.0,,,,,,,,,,
S-90000835,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,1.0
S-90000984,M_15th,,,,,,,,,,,,5.0,,,,,,,,,,,,,
S-90000987,M_15th,,,,,1.0,,,,,,,26.0,,,,8.0,,,,,,,,,
S-90000991,M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,,
S-90000992,M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,,
S-90000993,M_15th,,,,,,10.0,,,,,,,,,,,,,,,,,,,
S-90000996,M_15th,,,,,,,,,,,,,,,1.0,,,,,,,,,,
S-90001030,M_15th,,,,,,,,,,,,,,,,,1.0,,,,,,,,
S-90001033,M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
S-90001034,M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
S-90001035,M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
S-90001246,M_15th,,,,,,,,,,,,,,,,,,,,,,,,15.0,
S-90001257,M_15th,,,,,,6.0,,,,,,,,,,,,,,,,,,,
S-90001264,M_15th,,,,,,3.0,,,,,,,,,,,,,,,,,,,
S-90001265,M_15th,,,,,,12.0,,,,,,,,,,,,,,,,,,,
S-90001266,M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
S-90001268,M_15th,,,,,,300.0,,,,,,,,,,,,,,,,,,,
S-90001269,M_15th,,,,,2.0,250.0,,,,,,,,,,,,,,,,,,20.0,2.0
S-90001273,M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
S-90001274,M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
S-90001275,M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
S-90001293,M_15th,,,,,,,4.0,,,,,,,,,,,,,,,,,,
S-90001336,M_15th,,,,,,,,,,12.0,,,,,,,,,,,,,,,
S-90001352,M_15th,,,,,,,,,,,,,,,,,,,20.0,,,,,,
S-90001353,M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
S-90001354,M_15th,,,,,,,,,,24.0,,,,,,,,,,,,,,,
S-90001377,M_15th,,,,,4.0,,,,,,,,,,,,,,,,,,,,
S-90001532,M_15th,,,,,,,,,,,,,,,,,,,20.0,,,,,,
S-90001533,M_15th,,,,,,,,,,,,,,,,,,,40.0,,,,,,
S-90001593,M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
S-90001594,M_15th,,,,,46.0,,,,,24.0,,,,,,,,,,,,,,,
S-90001595,M_15th,,,,,,,,,,24.0,,,,,,,,,32.0,,,,,,
S-90001599,M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
S-90001602,M_15th,,,20.0,,,,,,60.0,,,,20.0,,,,,,,,,,,,
S-90001604,M_15th,,,,,,,,,,,,,,,6.0,,,,,,,,,,
S-90001611,M_15th,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,
S-90001612,M_15th,,,,,,,,,,,,12.0,,,,,4.0,,,,,,,,
S-90001620,M_15th,,,,,,,,,,6.0,,,,,,12.0,,,,,,,,,
S-90001621,M_15th,,,,,,,,,,6.0,,,,,,,,,,,,,,,
S-90001622,M_15th,,,,,,,,,,6.0,,,,,,,,,32.0,,,,,,
S-90001773,M_15th,,,,,,5.0,,,,,,,,,,,,6.0,,,,,1.0,,
S-90001774,M_15th,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,
S-90001777,M_15th,15.0,,,,,33.0,20.0,,,,,,4.0,,,,,,,,,,,,
S-90001779,M_15th,5.0,,,,,,,,,,,,,,,,,,,,,,,,
S-90001814,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,20.0
S-90001836,M_15th,,,,,270.0,,,,,,,,,,,,,,,,,,,,
S-90001839,M_15th,,,,,,,,,,,,,,,,,,,,,,,,20.0,
S-90001850,M_15th,,,,,,,,,,,12.0,,,,,,,,,,,,,,
S-90001872,M_15th,,,,,,20.0,,,,,,,,,,,,,,,,,,,
S-90001873,M_15th,,,,,,20.0,,,,,,,,,,,,,,,,,,,
S-90001874,M_15th,,,,,,20.0,,,,,,,,,,,,,,,,,,,
S-90001964,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
S-90001965,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
S-90001976,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
S-90002022,M_15th,,,,,,,,,,,,,20.0,,,,,,,,,,,,20.0
S-90002025,M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,,
S-90002032,M_15th,,,,,,,,,,,,,,,5.0,,,,,,,,,,
S-90002041,M_15th,,,,,,70.0,25.0,,,,,,,,,,,,,,,,10.0,,
S-90002046,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,20.0
S-90002048,M_15th,,,,,,100.0,,,,,,,,,,,,,,,,,,15.0,
S-90002065,M_15th,,,,,,,20.0,,,,,,,,,,,,,,,,,,
S-90002107,M_15th,,,,,,,,,20.0,,,,,,,,,,,,,,,,
S-90002110,M_15th,,,,,,,,,20.0,,,,,,,,,,,,,,,,20.0
S-90002178,M_15th,,,,,,6.0,,,,,,,12.0,,,,,,,,,,,,
S-90002347,M_15th,,,,,,,,,150.0,,,,,,,,,,,,,,,,
S-90002431,M_15th,,,,,,,,,,,,12.0,,,10.0,,,,,,,,,,
S-90002432,M_15th,,,,,,,,,,,,,,,10.0,,,,,,,,,,
S-90002433,M_15th,,,,,,48.0,,,,,,,,,,,,,,,,,,,
S-90002456,M_15th,,,,,,,15.0,,,6.0,,,,,,,,,,,,,,,
S-90002460,M_15th,4.0,,,,,,,,,,,,,,,,,,,,,,,,
S-90002461,M_15th,2.0,,,,,,,,,,,,,,,,,,,,,,,,
S-90002466,M_15th,,,,,,,8.0,,,6.0,,,,,,,,,,,,,,,
S-90002467,M_15th,,,,,,,4.0,,,,,,,,,,,,,,,,,,
S-90002501,M_15th,,,,,,,,,216.0,100.0,,,,,,,,,,,,,,,
S-90002507,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
S-90002508,M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
S-90002521,M_15th,,,,,,,,,,,,,,,,,,4.0,,,,,,,
S-90002522,M_15th,,,,,,,,,,,,,,,,,,1.0,,,,,,,
S-90002523,M_15th,,,,,,,,,,,,,,,,,,1.0,,,,,,,
S-90002572,M_15th,,,,,,,,,,,,,,,,10.0,,,,,,,,,
S-90002573,M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
S-90002574,M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
S-90002578,M_15th,,,,,,,6.0,,,,,,6.0,,,,,,,,,,,,
S-90002579,M_15th,,,,,10.0,,,,,,,,,,,,,,,,,,,,
S-90002587,M_15th,,,,,,,,,,,,,7.0,,,,,,,,,,,,
S-90002588,M_15th,,,,,,,,,,,,,1.0,,,,,,,,,,,,
S-90002589,M_15th,,,,,,,,,,,,,,,,,,32.0,,,,,,,
S-90002591,M_15th,,,,,,,,,,,,,32.0,,,,,,3.0,,,,,,
S-90002592,M_15th,,,,,20.0,,,,,,,,20.0,,,,,,,,,,,,
S-90002593,M_15th,,,,,20.0,20.0,,,,,,,20.0,,,,,,,,,,,,
S-90002597,M_15th,,,,,16.0,,2.0,,,,,,,,,,2.0,,,,,,,,
S-90002598,M_15th,,,,,8.0,,7.0,,,,,,,,,,,,,,,,,,
S-90002599,M_15th,,,,,8.0,,,,,,,,4.0,,,,,,,,,,,,
S-90002602,M_15th,,,,,,,,,,,,,5.0,,,,,,,,,,,,
S-90002610,M_15th,,,,,,,,,,,,,,,,,,,30.0,,,,,,
S-KDARY48BRN,M_15th,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
S-KDAST48BRN,M_15th,,,,,,,,,,,,5.0,,,,,,,,,,,,15.0,
S-PB12PLDGTCRML,M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
S-PB12PLDGTRSBY,M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
S-PB12PLDGTSONX,M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
S-PT12PLDGTCRML,M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
S-PT12PLDGTRSBY,M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
S-PT12PLDGTSONX,M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
SB48IVY,M_15th,,,,,,,,,,,,,,,,,,,,,,420.0,,,
SB48IVY,M_25th,,,,,,,,,,,,,,,804.0,,240.0,,,,,728.0,,,
SEAWIND48IVY,M+1_7th,,,,,,,,,,,,,,,,508.0,7.0,1368.0,172.0,,,,,,
SEAWIND48LB,M+1_7th,,,,,,,,,,,,112.0,,40.0,,,,1804.0,412.0,,,,,,
SEAWIND48OPW,M+1_7th,,,,,,,,,,,,,,96.0,132.0,,3.0,,,,,332.0,,,
SEN48OPW,M_15th,,,,,,,20.0,,,,,,,,,,,,,,,,,,
SMART48IVY,M_15th,,,,,,,,,,,,,,,,76.0,,,,,,,16.0,,
SMART48IVY,M_25th,,,,,,,,,,,,,,,,52.0,,,,,,,12.0,,
SMART48LB,M_15th,180.0,,,,,,,,,,,,,,,,,36.0,,,,,16.0,,
SMART48LB,M_25th,120.0,,,,,,,,,,,,,,,,,164.0,,,,,12.0,,
SMART48MB,M_15th,,,,,,72.0,,,,,,,,,,,,,,,,,,,
SMART48MB,M_25th,80.0,,,,,52.0,,,,,,,,,,,,,,,,,,,
SMART48OPW,M_25th,28.0,,,,,,,,,,,,,,,,,,,,,,,,
SPLITZ48MIV,M_25th,,,,,,,,,,,,,,,,,,,180.0,,,,,,
SPLITZ48SWT,M_25th,,,,,,,,,,,,,,,,,,,,,,176.0,,,
STAR22048WHT,M_15th,,,,,212.0,,,96.0,,,,,,,,72.0,,,,,,812.0,,,
STAR22048WHT,M_25th,,,,,200.0,,,64.0,,,788.0,,,,,76.0,,,,,,100.0,,,
SUPERBRIZDEC48BKWT,M+1_7th,,52.0,52.0,,232.0,,,,,,,,,,,,,348.0,,,,,,,
SUPERBRIZDEC48BKWT,M_15th,,,,,,,,424.0,,,,,,,,,,,,,,,,,
SUPERBRIZDEC48BKWT,M_25th,,4.0,,,,,,,,,,,,,,,,,,,,,,,
SUPERBRIZDEC48SLWT,M+1_7th,,32.0,32.0,40.0,,,,,164.0,,,,12.0,,240.0,,,120.0,384.0,100.0,,,,,
SUPERBRIZDEC48SLWT,M_15th,,,,,,,,568.0,,,,,,,,,,,,,,,,,
SUPERBRIZDEC48SLWT,M_25th,,,,,,,148.0,,,,,,8.0,,,,,,,,,,,,
SUPERBRIZDEC48SMBR,M+1_7th,,24.0,24.0,,,,,,,,,,,,1184.0,,,384.0,,,,,,,
SUPERBRIZDEC48SMBR,M_15th,,,,,,,,1600.0,,,,,,,,,,,,,,,,,
SUPERBRIZDEC48SMBR,M_25th,,16.0,,,,,,,,,,,,,,,,,,,,,,,
TA12AG-GRD,M+1_7th,,,,,,,14.0,,,,,,,,,,,,,,,,,,
TA6AG,M_15th,,16.0,,,,,,,24.0,,,,,,,,24.0,24.0,36.0,,,,,,
TA6AG,M_25th,,8.0,,,,,16.0,,16.0,,,,,,,,16.0,16.0,,,,,,,
TFWIND16AG-2U-DBL,M_15th,,,,,,,,,,120.0,,,,,,,,,,,,,,,
TRIT48ABR,M_15th,60.0,,,,,104.0,20.0,40.0,6.0,,144.0,,10.0,,,,,,,32.0,,30.0,,,
TRIT48ABR,M_25th,40.0,,,,8.0,74.0,44.0,68.0,26.0,,62.0,8.0,,,,20.0,20.0,22.0,,22.0,18.0,20.0,,,
TRIT48ACR,M_15th,60.0,,,,4.0,,36.0,78.0,18.0,,94.0,12.0,,,32.0,34.0,26.0,32.0,,32.0,,28.0,,,
TRIT48ACR,M_25th,40.0,,,,8.0,,44.0,64.0,26.0,,62.0,8.0,,,60.0,22.0,24.0,22.0,,22.0,,20.0,,,
TRIT48BST,M_15th,24.0,,,,12.0,,24.0,94.0,,,236.0,,20.0,,,,,,,6.0,,32.0,,,
TRIT48BST,M_25th,16.0,,,,8.0,,38.0,64.0,26.0,,62.0,8.0,,,32.0,20.0,,16.0,,22.0,18.0,22.0,,,
ULT48BRN,M_25th,,,,,,,,,,,,,,,,,,96.0,,,,,,,
ULT48IVY,M_25th,,,,,,,,,,,,,,,,,68.0,80.0,,,,,16.0,,
ULT48OPW,M_25th,,,,,,,,,,,,,,,,,16.0,,,,,,,,
URANUS48BLK,M_15th,24.0,,,,6.0,,,56.0,13.0,,57.0,,,,,,,,,,,,,,
URANUS48BLK,M_25th,8.0,,,,4.0,24.0,6.0,24.0,12.0,16.0,17.0,8.0,,,,15.0,,20.0,8.0,,,,,,
URANUS48IVY,M_15th,,,,,,,49.0,91.0,16.0,68.0,37.0,,10.0,,,,,,,8.0,,,,,
URANUS48IVY,M_25th,,,,,4.0,44.0,6.0,34.0,16.0,40.0,34.0,8.0,,,111.0,40.0,16.0,20.0,5.0,3.0,,,,,
VENTILUS10WHT,M_15th,,,,,16.0,356.0,128.0,124.0,124.0,24.0,124.0,,,,,,,,,36.0,,,,32.0,
VENTILUS10WHT,M_25th,,,,,16.0,240.0,88.0,84.0,84.0,16.0,84.0,,,,,,,,,84.0,,,,36.0,
VENTILUS6IVY,M_15th,,,,,,,,,,104.0,,,,,32.0,,,,,,,,,,
VENTILUS6IVY,M_25th,,,,,16.0,,,,,72.0,,,,,56.0,,,,,,,,,,
VENTILUS6WHT,M_15th,,,,,,,24.0,,,,,,,,,,,,,,,,,,
VENTILUS6WHT,M_25th,56.0,,,,16.0,,,,24.0,,104.0,,,,640.0,,,,,,,,,,
VENTILUS8IVY,M_15th,,,,,24.0,,,,,,,,,,88.0,,,,,,,,,,
VENTILUS8IVY,M_25th,,,,,16.0,,,,,,,,,,80.0,,,,,,,,,,
VENTILUS8WHT,M_15th,,,,,24.0,128.0,80.0,,,,,,,,,,,,,,,,,,
VENTILUS8WHT,M_25th,40.0,,,,16.0,,56.0,88.0,104.0,16.0,120.0,,,,,,,,,168.0,,24.0,24.0,,
WINDSTARFARRATA20,M_15th,122.0,249.0,,86.0,372.0,,,,,,,,,,,,,,,,,,,,
WINDSTARFARRATA20,M_25th,1860.0,40.0,,120.0,716.0,,,,,,,,,,,,,,,,,,,,
WMFIZZAIR12OPW,M_15th,33.0,,,,90.0,63.0,,60.0,,60.0,126.0,,,,,,,255.0,,,,,,,
WMFIZZAIR12OPW,M_25th,42.0,,,,60.0,42.0,,42.0,,42.0,84.0,,,,,,,171.0,,,,,,,
WMFIZZAIRHS16OPW,M_15th,60.0,,,,72.0,60.0,,60.0,,60.0,27.0,,,,,,,,,,,,,,
WMFIZZAIRHS16OPW,M_25th,42.0,,,,60.0,42.0,,42.0,,42.0,72.0,,,,,,,,,,,,,,
WMWINDFLO16OPW,M+1_7th,,33.0,,171.0,,,,,,,,,,,,,,,,,,,,,
WWHE48LB,M_25th,,,,,,,,64.0,,36.0,,,,,,,,,,,,,,,
WWHE48OPW,M_25th,,,,,,,,,4.0,,,,,,,,,,,,,,,,
WWHE56OPW,M_25th,,,28.0,,,32.0,,64.0,64.0,,,,,,,,,,,,,,,,
WWPS48LB,M_25th,,,,,,,,,400.0,,,,,,,,,,,,,,,,
