Item Name,Date,Bhiwandi,Vijayawada,SECUNDERABAD,Ranchi,RAIPUR,Patna,Nagpur,Pune,Madurai,LUCKNOW,Kolkata,Indore,GUWAHATI,Coimbatore,Cochin,Chennai,Cuttack,Bangalore,AHMEDABAD,Jalandhar,Jaipur,Ghaziabad,Delhi,Chandigarh
S-90000515,M_15th,,2,,,,,,,,,,,,16,,,,6,,,,,,
S-90000516,M_15th,,8,,,,,,,,,,,,,,,,,,,,,,
S-90000530,M_15th,,3,1,,,,,,,,,,,,,,,30,,,,,,
S-90000531,M_15th,,12,,,,,,,,,,,,,,,,,,,,,,
S-90000604,M_15th,,20,,,,,,,,,,,,15,,0,,,,,,,,
S-90000612,M_15th,,12,,,,,,,,,,,,,,,,,,,,,,
S-90001030,M_15th,,0,,,,,,,,,,,,,,,,,,,,,,
S-90001611,M_15th,,1,,,,,,,,,,,,,,,,6,,,,,,
S-90001612,M_15th,,4,,,,,,,,,,,,,,0,,,,,,,,
S-90001774,M_15th,,1,,,,,,,,,,,,,,,,,,,,,3,
S-90002597,M_15th,,2,,,,,,,,,,,,,,,0,,,,,0,,
TRIT48ACR,M_15th,,26,34,,,,,,,18,60,28,,,32,12,4,32,32,,94,36,,64
ACGJMG-RJPLUS,M_15th,,,0,,,0,,,,,0,,,,,,,0,,,,,,0
AURA48BRNDLX,M_15th,,,216,48,,,,,152,,,,16,188,232,,,48,,,,,,
AXIALAIR4WHT,M_15th,,,60,,,,,,,,,,,,180,,,,,40,60,,,
EXHD300-4-1,M_15th,,,28,,,,,,,,,,,,,,,,,,,,,
FLY48SWT,M_15th,,,44,,,,,,,,,,,,,,,,,,,,,
HS56OPW,M_15th,,,92,,,,,,,,,,8,,,,,,,,,,,
S-90000329,M_15th,,,0,,,,,,,,,,,,,,,,,,,,,
S-90000601,M_15th,,,2,,,,,,,,,,,,,,,,,,,,,
S-90000987,M_15th,,,8,,,,,,,,,,,,,26,1,,,,,,,
S-90001620,M_15th,,,0,,,,,,,,,,,,,,,,,0,,,,
S-90002572,M_15th,,,10,,,,,,,,,,,,,,,,,,,,,
SMART48IVY,M_15th,,,0,,,,0,,,,,,,,,,,,,,,,,
STAR22048WHT,M_15th,,,72,,,,,,,,,812,,,,,212,,,,,,,56
ACGEI-ED PLUS,M_15th,,,,48,,,,,,,,,,,,,,,,,,,,
ACGEI-HDC,M_15th,,,,12,,,,,,,,,,,,,,,,,,,,
ACGIC-CREST,M_15th,,,,36,,54,,,,,,,,,,,,,,,,,,
ACGM-DS51,M_15th,,,,4,,,,,,,,,,,,,,,,,,,,
ACGM-DXT PLUS,M_15th,,,,20,,34,,,,,,,,,,,,,,,,,,
ACGM-FROSTY LITE,M_15th,,,,6,,,,,,,,,,,,,,,,,,,,
ACGM-MANGO LITE,M_15th,,,,18,,,,,,,,,,,,,,,,,,,,
ACGM-TD71,M_15th,,,,40,,108,,,,,,,,,,,,,,,,,,
ACGM-VX,M_15th,,,,72,,36,,,,,,,,,,,,,,,,,,
ACGVS-100VAC,M_15th,,,,0,,0,,,,,,0,,,,,0,,,,,,,
ALBRIZ48OPW,M_15th,,,,0,,,,,,,,,0,,,,0,,,,,,,
BRIZ24OPW,M_15th,,,,4,,,,,,,,,,,,,,,,,,,,348
FLUXAIR9OPW,M_15th,,,,16,,,,,,,248,,0,,,,,,,,,,,
HS48BRN,M_15th,,,,68,,204,,,,,,,,600,,,,,,36,,,,
HS56BRN,M_15th,,,,24,,,,,,,60,,,,,,,,,,,,,
HSDCR48BRN,M_15th,,,,24,,,,,,,,,,,,,,,,,,,,
RIV48BRN,M_15th,,,,24,,96,,,,,,,,,,,,,,,,,,
RIV48OPW,M_15th,,,,20,,36,,,,,,,,,,,,,,,,,,
S-90001602,M_15th,,,,20,,,,,,60,,,,20,,,,,,,,,,
AURA48NEWWHT,M_15th,,,,,0,,,,,,,,,,,,,,0,,,,,
EXHD450-6-1,M_15th,,,,,1,,0,,,0,,,,,,,,,,,0,0,0,0
EXHD900-8-3,M_15th,,,,,0,,0,,,,,,,,,,,,,,,,,
S-90000111,M_15th,,,,,0,,,,,,,,,,,,,,,,,,0,
S-90000321,M_15th,,,,,17,,,,,,,,,,,,,,,38,,,0,
S-90000322,M_15th,,,,,0,,,,,,,,,,,,,,,,,,,
S-90000327,M_15th,,,,,20,,,,,,,,,,,,,,,28,,,,
S-90000387,M_15th,,,,,0,,,,,,,,,,,,,,,,,,,
S-90000400,M_15th,,,,,0,,,,,,,,,,,,,,,,,,,
S-90000402,M_15th,,,,,10,,,,,,,,,,,,,,,,,,0,
S-90000579,M_15th,,,,,12,,,,,,,,,,,,,,,,,532,0,
S-90001246,M_15th,,,,,0,,,,,,,,,,,,,,,,,,,
S-90001269,M_15th,,,,,0,,,,,,,,,,,,0,,,,,,0,
S-90001839,M_15th,,,,,20,,,,,,,,,,,,,,,,,,,
S-90002048,M_15th,,,,,0,,,,,,,,,,,,,,,,,,0,
S-KDAST48BRN,M_15th,,,,,0,,,,,,,,,,,0,,,,,,,,
VENTILUS10WHT,M_15th,,,,,0,,,,,0,,,,,,,0,,0,0,0,0,0,0
ACGSI-ARISTO,M_15th,,,,,,12,,,,48,,,,36,,,,,,,,,,
ALBRIZ48BRN,M_15th,,,,,,92,,,,,0,,0,,,,0,,,,,,,
BRISKAIR8HSBLKN,M_15th,,,,,,0,,,,,,,,,,,,,,,,,,
BRIZ24IVY,M_15th,,,,,,0,,,,,,,,,,,0,,,,,,,0
HSPLUS48BRN,M_15th,,,,,,16,,,,,,,,,,,,,,,,,,
HSPLUS48OPW,M_15th,,,,,,16,,,,,20,0,,,,,,,,,0,,0,0
S-90000711,M_15th,,,,,,50,,,,,,,,,,,,,,,,,,
S-90000757,M_15th,,,,,,0,,,,,0,,,,,,0,,,,,,,
WINDSTARFARRATA20,M_15th,,,,,,66,,,,,0,,0,,,,0,,,,,,,
ASWH1515-WHT/BRW,M_15th,,,,,,,1,,,,,,,,,,,,,,,,,
S-90000611,M_15th,,,,,,,2,,,,,,,,,,,,,,,,,
S-90000817,M_15th,,,,,,,2,,,,,,,,,,,,,,,,,
S-90001773,M_15th,,,,,,,1,,,,,,,,6,,,,,,,,5,
S-90002041,M_15th,,,,,,,0,,,,,,,,,,,,,,,0,0,
SMART48LB,M_15th,,,,,,,0,,,,0,,,,0,,,,,,,,,
ARYBRZ48IVY,M_15th,,,,,,,,412,,,,,,,,,,,,,0,0,0,
AURPMAD48TTE,M_15th,,,,,,,,96,,24,212,76,,,,,44,,,,,,,
BRIZ56OPW,M_15th,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0
AIWH01PC1(3KW)-IVY,M_15th,,,,,,,,,30,,,,,24,,,,,,,,,,
FLY48EMBER,M_15th,,,,,,,,,12,,,,,,,,,,,,,,,
HS48IVY,M_15th,,,,,,,,,120,,,,,424,,,,,,,,,,
HSDCPRM48AGD,M_15th,,,,,,,,,88,,,,,264,,280,,,,,,,,
S-90000299,M_15th,,,,,,,,,0,,0,,,,,0,,,,,,,,
ACGEI-PD PLUS,M_15th,,,,,,,,,,180,,120,,,,,,,,,,180,60,
AURA56NEWWHT,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
AURPMAD36ONX,M_15th,,,,,,,,,,0,,,,,,,,,,,,,,
